# d, ho, so
1e-05,249.099,190.455
0.001,249.248,152.165
0.002,249.398,146.4
0.003,249.547,143.026
0.004,249.697,140.631
0.005,249.847,138.773
0.006,249.997,137.255
0.007,250.146,135.97
0.008,250.296,134.857
0.009,250.445,133.875
0.01,250.595,132.996
0.02,252.087,127.206
0.03,253.575,123.807
0.04,255.058,121.387
0.05,256.535,119.504
0.06,258.008,117.96
0.07,259.477,116.65
0.08,260.94,115.511
0.09,262.399,114.503
0.1,263.852,113.599
0.11,265.301,112.778
0.12,266.745,112.025
0.13,268.184,111.331
0.14,269.619,110.686
0.15,271.048,110.083
0.16,272.473,109.517
0.17,273.893,108.984
0.18,275.308,108.479
0.19,276.718,108
0.2,278.123,107.544
0.21,279.524,107.109
0.22,280.92,106.692
0.23,282.311,106.293
0.24,283.697,105.909
0.25,285.078,105.539
0.26,286.454,105.183
0.27,287.826,104.839
0.28,289.192,104.506
0.29,290.554,104.183
0.3,291.911,103.871
0.31,293.263,103.567
0.32,294.611,103.272
0.33,295.953,102.985
0.34,297.291,102.706
0.35,298.624,102.434
