# d, ho, so
1e-05,246.465,145.698
0.01,249.145,126.94
0.02,251.399,125.01
0.03,253.64,123.877
0.04,255.867,123.07
0.05,258.081,122.443
0.06,260.283,121.928
0.07,262.47,121.491
0.08,264.645,121.112
0.09,266.806,120.776
0.1,268.954,120.474
0.11,271.089,120.201
0.12,273.211,119.95
0.13,275.319,119.718
0.14,277.414,119.503
0.15,279.496,119.302
0.16,281.565,119.114
0.17,283.62,118.936
0.18,285.663,118.768
0.19,287.692,118.608
0.2,289.707,118.456
0.21,291.71,118.311
0.22,293.699,118.172
0.23,295.675,118.039
0.24,297.638,117.911
0.25,299.588,117.788
0.26,301.524,117.669
0.27,303.447,117.554
0.28,305.357,117.443
0.29,307.254,117.336
0.3,309.137,117.232
0.31,311.007,117.131
0.32,312.864,117.032
0.33,314.708,116.937
0.34,316.539,116.843
0.35,318.356,116.753
