# d, ho, so
1e-05,296.33,192.475
0.001,296.428,154.185
0.002,296.527,148.42
0.003,296.626,145.046
0.004,296.725,142.651
0.005,296.824,140.793
0.006,296.923,139.275
0.007,297.022,137.99
0.008,297.121,136.877
0.009,297.221,135.895
0.01,297.32,135.017
0.02,298.311,129.226
0.03,299.302,125.827
0.04,300.294,123.407
0.05,301.286,121.524
0.06,302.278,119.98
0.07,303.271,118.67
0.08,304.264,117.531
0.09,305.257,116.523
0.1,306.25,115.619
0.11,307.244,114.798
0.12,308.238,114.045
0.13,309.232,113.351
0.14,310.227,112.706
0.15,311.222,112.103
0.16,312.217,111.537
0.17,313.212,111.004
0.18,314.208,110.499
0.19,315.204,110.02
0.2,316.2,109.564
0.21,317.196,109.129
0.22,318.193,108.712
0.23,319.19,108.313
0.24,320.188,107.929
0.25,321.185,107.559
0.26,322.183,107.203
0.27,323.181,106.859
0.28,324.18,106.526
0.29,325.179,106.203
0.3,326.178,105.891
0.31,327.177,105.587
0.32,328.176,105.292
0.33,329.176,105.005
0.34,330.176,104.726
0.35,331.177,104.454
